idNodo,caracteristica1,caracteristica2
0,-20.973328,49.002106
1,0.37042406,53.296223
2,0.78884166,14.009132
3,-25.238632,41.09701
4,-27.419462,42.780735
5,-51.69298,20.688812
6,-25.489588,44.634483
7,69.0647,38.336777
8,-61.258358,21.409319
9,31.546,71.39308
10,-4.7959766,54.149258
11,-29.066187,-29.187185
12,32.008327,52.836933
13,-8.600249,8.198531
14,3.1642013,17.339458
15,-50.520824,5.9610224
16,2.8621707,8.327176
17,-48.74245,-49.03772
18,46.30964,60.650677
19,-64.61606,-39.784615
20,13.247994,-19.937445
21,-46.733902,-31.369675
22,-51.481747,-25.562145
23,34.347195,-19.216148
24,-58.15811,27.884468
25,-0.7715202,55.943832
26,-11.335565,69.606705
27,27.3819,3.534421
28,17.201843,-64.93236
29,-27.484015,18.664268
30,26.57485,72.15325
31,-12.695666,64.20665
32,-40.385487,-32.235153
33,23.908495,58.211178
34,34.40241,58.55941
35,2.845378,-39.86348
36,-12.860469,16.684084
37,84.31812,30.629301
38,-18.629072,47.59853
39,-35.919365,5.600975
40,-7.90574,9.017517
41,39.73735,61.57443
42,-57.398495,7.352727
43,-11.828021,-29.889015
44,-25.510813,-16.805397
45,14.852668,-18.142723
46,16.45995,-3.0995438
47,-11.830854,2.0404825
48,-31.976053,33.49925
49,13.798123,-17.946785
50,-53.672005,40.77207
51,3.6141295,13.775483
52,2.3806372,12.36138
53,-18.86167,46.918533
54,-38.08284,-24.367489
55,-40.00839,15.003877
56,14.461167,-17.009642
57,-56.868626,-2.041894
58,7.294938,76.77753
59,-19.193722,47.449146
60,4.576615,18.034624
61,4.066447,-40.549202
62,-25.56373,-7.843899
63,-4.928374,-9.415504
64,-20.461678,-51.202713
65,-26.848694,81.33311
66,-15.905874,-37.291245
67,-34.96215,-12.411582
68,-10.309078,-41.97226
69,-28.100008,3.141912
70,-5.2302947,-85.376076
71,12.792243,29.299973
72,20.742256,63.069477
73,-50.428547,36.60338
74,-55.113434,-35.850163
75,-25.280676,-45.048466
76,-19.163862,-25.295288
77,9.681691,-20.656754
78,-31.668264,32.551228
79,-44.544468,35.72666
80,-26.47288,-13.948512
81,-6.6610703,-31.819225
82,1.9240984,-40.17087
83,-11.566674,-4.730258
84,-35.422237,3.2721808
85,-8.72991,-23.31213
86,12.291793,47.306934
87,-45.322742,-10.775662
88,-66.577415,26.24214
89,1.6498733,62.552647
90,-0.6793346,-45.86316
91,-25.029694,-26.63622
92,10.007996,-59.636696
93,42.872704,57.51348
94,-20.865875,-24.412054
95,44.130146,58.13032
96,-16.55454,-48.023697
97,3.7874596,-4.0063734
98,31.653196,59.949165
99,-29.297203,-0.64907444
100,2.2177544,52.71862
101,-65.42057,26.30708
102,41.59788,76.09375
103,-24.91124,11.901695
104,-11.74996,53.873573
105,-24.101997,-52.95007
106,-5.1721888,-85.65825
107,11.540752,32.992943
108,-27.736229,17.157574
109,22.106604,-15.991546
110,5.2600794,-1.5864424
111,15.396895,-66.76511
112,-3.282463,56.91569
113,-14.14099,-35.070885
114,-21.77988,-41.06437
115,-12.797663,-36.933437
116,-24.8046,-11.1907835
117,-12.586061,-2.3610687
118,-54.732254,-46.54543
119,42.222645,56.116173
120,-35.97418,38.28483
121,13.8976,52.173634
122,-32.287598,-48.06925
123,25.956585,63.01393
124,-62.164326,26.135233
125,-16.292522,52.00818
126,9.068383,-23.549177
127,-58.799267,19.686834
128,-56.12301,-31.949894
129,-30.697905,-48.35025
130,1.0558765,-44.082253
131,-48.25347,-1.7842019
132,41.500618,58.770077
133,-24.030533,-13.936641
134,-32.670338,-11.30571
135,-13.669872,-5.75901
136,-32.460285,-53.174767
137,-29.107471,13.10597
138,25.218079,55.17043
139,-43.10619,-9.350931
140,-41.739677,14.580839
141,14.744464,-30.278557
142,40.630123,55.2159
143,21.144873,-49.08823
144,-62.312355,23.594332
145,20.309032,61.988525
146,4.383213,-38.17448
147,6.625872,-0.49255228
148,-31.376554,-27.936905
149,16.58977,-29.78492
150,23.113241,-14.518905
151,45.839043,-32.442024
152,-20.424797,-40.968136
153,-21.618517,6.4639826
154,4.238487,51.04162
155,-21.848862,-74.065445
156,-25.484217,45.016727
157,31.283573,54.18253
158,-50.28542,-6.2587423
159,-34.061466,-16.275335
160,7.4685984,-28.91412
161,-3.955659,-43.05389
162,-6.7227206,-25.75942
163,-10.551009,7.249986
164,37.48904,58.499783
165,-11.015468,-3.998784
166,26.37252,63.76423
167,17.20999,-47.21624
168,26.596174,73.48038
169,3.5215008,50.304127
170,-29.607662,41.793785
171,-1.2708279,14.681326
172,22.29591,57.78182
173,-23.275965,-26.47256
174,14.868853,-2.7712114
175,-45.660454,34.80128
176,-45.026184,-29.360147
177,-28.883455,-48.202682
178,-43.051876,-9.570167
179,-15.880865,47.581154
180,11.18805,47.454174
181,-45.412743,-7.519667
182,-40.49401,6.3858547
183,-24.354834,-21.151503
184,27.91227,55.670956
185,7.974427,76.994705
186,-25.679827,6.174503
187,-2.573909,7.828669
188,26.089237,-36.233196
189,-26.859005,-12.368357
190,-44.378536,-33.310852
191,12.45572,38.80602
192,-11.579766,-52.333366
193,1.3318633,0.2882165
194,-56.514053,31.12155
195,-18.722885,-44.163292
196,-34.71664,-51.38696
197,-28.25114,-49.231567
198,-58.448586,-20.609133
199,-16.554409,-49.82628
200,31.371584,71.28941
201,-46.28055,-8.972221
202,0.55730915,6.0095835
203,-34.8584,-16.230974
204,-52.010227,-37.42709
205,8.1578,76.87082
206,18.00523,67.16094
207,-14.642402,-18.231787
208,3.690315,-39.92099
209,25.107363,55.00688
210,2.7676256,-5.9953136
211,-25.373877,-13.026368
212,85.35631,28.06926
213,10.599706,30.6905
214,-3.1201396,-34.04
215,-10.053016,-54.799725
216,-20.024837,-33.729496
217,-34.43995,-51.377495
218,15.180371,-20.003931
219,-22.38617,-44.100765
220,27.606327,9.731511
221,13.553821,-64.71839
222,-8.418963,7.857388
223,26.575296,64.70345
224,-45.747795,-34.216827
225,-27.437498,-25.386457
